Planet,Tstar,sigTeff,FeH,sigFeH,Period,Mass,sigM,Radius,sigR,Rstar,Mstar,sigM %,sigR %,
55 Cnc e,5172,18,0.35,0.1,0.737,7.74,0.335,1.897,0.045,0.954,0.873,4.328165375,2.372166579,
CoRot-7b,5313,73,0.03,0.07,0.854,4.6,1.15,1.58,0.1,0.8389,0.884,25,6.329113924,sigM Too large
GJ 9827b,4255,110,-0.28,0.12,1.209,4.89,0.425,1.571,0.036,0.5994,0.606,8.691206544,2.291534055,
HD 3167b,5261,60,0.04,0.05,0.96,5.59,0.97,1.626,0.051,0.88,0.837,17.35241503,3.136531365,
K2-106b,5496,46,0.06,0.03,0.571,7.72,0.795,1.712,0.068,0.981,0.902,10.29792746,3.971962617,
K2-131b,5200,100,-0.02,0.08,0.369,6.3,1.4,1.651,0.06,0.744,0.793,22.22222222,3.634161114,sigM too large
K2-141b,4599,79,-0.06,0.09,0.28,5.16,0.345,1.493,0.038,0.6862,0.706,6.686046512,2.545210985,
K2-229b,5185,32,-0.06,0.02,0.584,2.49,0.425,1.197,0.0465,0.781,0.804,17.06827309,3.884711779,
K2-291b,5520,60,0.08,0.04,2.225,6.4,1.1,1.582,0.0395,0.904,0.926,17.1875,2.496839444,
Kepler-10b,5708,28,-0.15,0.04,0.837,3.57,0.52,1.489,0.022,1.075,0.905,14.56582633,1.477501679,
Kepler-78b,5121,44,-0.08,0.04,0.355,1.77,0.245,1.228,0.0185,0.7475,0.779,13.84180791,1.506514658,
WASP-47e,5552,75,0.038,0.05,0.79,6.91,0.82,1.773,0.0485,1.125,1.008,11.86685962,2.735476593,